Year,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,65-74,55+,75+
2013,46,38,71,62,45,43,28,NaN,13,NaN,4
2014,47,41,73,62,51,39,26,NaN,19,NaN,7
2015,44,39,66,63,44,42,25,NaN,17,NaN,9
2016,41,32,67,50,42,27,23,NaN,21,NaN,13
2017,41,31,70,49,40,29,23,NaN,16,NaN,14
2018,44,32,65,59,36,35,23,NaN,23,19,9
2019,46,32,73,52,41,40,24,30,NaN,NaN,NaN
2020/21,61,63,92,82,76,62,43,NaN,NaN,NaN,NaN
2021,63,56,88,79,73,62,47,21,26,NaN,NaN
2022,55,56,88,76,67,54,41,24,NaN,NaN,NaN
2023,53,51,83,70,62,56,40,NaN,NaN,NaN,NaN
