CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 1,01 Medicine and dentistry,First degree,2022/23,Female,1200
CAH level 1,01 Medicine and dentistry,First degree,2022/23,Male,500
CAH level 1,01 Medicine and dentistry,First degree,2022/23,Unknown,0
CAH level 1,01 Medicine and dentistry,First degree,2022/23,Total,1705
CAH level 1,01 Medicine and dentistry,All,2022/23,Female,1200
CAH level 1,01 Medicine and dentistry,All,2022/23,Male,500
CAH level 1,01 Medicine and dentistry,All,2022/23,Unknown,0
CAH level 1,01 Medicine and dentistry,All,2022/23,Total,1705
CAH level 1,02 Subjects allied to medicine,First degree,2022/23,Female,11880
CAH level 1,02 Subjects allied to medicine,First degree,2022/23,Male,4490
CAH level 1,02 Subjects allied to medicine,First degree,2022/23,Unknown,75
CAH level 1,02 Subjects allied to medicine,First degree,2022/23,Total,16445
CAH level 1,02 Subjects allied to medicine,Other undergraduate,2022/23,Female,365
CAH level 1,02 Subjects allied to medicine,Other undergraduate,2022/23,Male,65
CAH level 1,02 Subjects allied to medicine,Other undergraduate,2022/23,Unknown,0
CAH level 1,02 Subjects allied to medicine,Other undergraduate,2022/23,Total,430
CAH level 1,02 Subjects allied to medicine,All,2022/23,Female,12245
CAH level 1,02 Subjects allied to medicine,All,2022/23,Male,4555
CAH level 1,02 Subjects allied to medicine,All,2022/23,Unknown,75
CAH level 1,02 Subjects allied to medicine,All,2022/23,Total,16875
CAH level 1,03 Biological and sport sciences,First degree,2022/23,Female,12835
CAH level 1,03 Biological and sport sciences,First degree,2022/23,Male,12675
CAH level 1,03 Biological and sport sciences,First degree,2022/23,Unknown,115
CAH level 1,03 Biological and sport sciences,First degree,2022/23,Total,25625
CAH level 1,03 Biological and sport sciences,Other undergraduate,2022/23,Female,15
CAH level 1,03 Biological and sport sciences,Other undergraduate,2022/23,Male,15
CAH level 1,03 Biological and sport sciences,Other undergraduate,2022/23,Unknown,0
CAH level 1,03 Biological and sport sciences,Other undergraduate,2022/23,Total,25
CAH level 1,03 Biological and sport sciences,All,2022/23,Female,12845
CAH level 1,03 Biological and sport sciences,All,2022/23,Male,12685
